stage_number,race_type,car_number,pit_lap,race_position,tempo_total,tempo_troca_pneus,pneu1,pneu2,video_link,notes
3,Main,85,12,1,9.840,9.840,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,33,17,2,8.900,8.900,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,111,18,3,9.030,9.030,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,8,7,4,8.940,8.940,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,1,14,5,9.340,9.340,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,83,12,6,9.380,9.380,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,81,28,7,9.190,9.190,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,30,9,8,12.840,12.840,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,4,13,9,8.620,8.620,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,121,12,10,8.970,8.970,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,11,17,11,10.590,10.590,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,18,11,12,8.180,8.180,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,19,20,13,7.840,7.840,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,90,13,14,9.530,9.530,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,51,10,15,14.030,14.030,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,7,10,16,11.470,11.470,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,29,8,17,10.970,10.970,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,0,6,18,9.530,9.530,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,21,18,19,10.970,10.970,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,80,6,21,9.220,9.220,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,27,12,22,10.870,10.870,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,10,10,23,21.100,21.100,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,6,11,24,9.410,9.410,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,12,6,25,8.560,8.560,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,95,10,27,10.440,10.440,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,24,12,28,14.780,14.780,Não registrado,,,Importado de PDF ET03 Interlagos
3,Main,38,7,30,10.030,10.030,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,293,5,1,4.440,4.440,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,80,11,2,4.410,4.410,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,11,5,3,3.880,3.880,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,30,6,4,5.160,5.160,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,85,7,5,4.190,4.190,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,83,12,6,4.160,4.160,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,1,5,7,3.750,3.750,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,8,9,8,4.810,4.810,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,81,9,9,4.720,4.720,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,18,9,10,4.350,4.350,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,27,9,11,5.970,5.970,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,19,3,12,4.400,4.400,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,10,12,13,4.120,4.120,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,6,11,14,4.410,4.410,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,0,6,15,4.370,4.370,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,21,2,16,5.600,5.600,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,51,8,17,3.850,3.850,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,301,10,18,5.160,5.160,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,22,12,19,7.660,7.660,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,4,5,20,4.280,4.280,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,444,6,21,5.940,5.940,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,7,5,22,18.130,18.130,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,73,3,23,3.750,3.750,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,24,5,24,8.600,8.600,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,38,6,25,4.340,4.340,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,95,9,26,32.560,32.560,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,90,6,27,4.530,4.530,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,33,8,DNF,4.970,4.970,Não registrado,,,Importado de PDF ET03 Interlagos
3,Sprint,111,6,DNF,4.250,4.250,Não registrado,,,Importado de PDF ET03 Interlagos
