temporada,etapa,local,corr,race_type,pit_type,piloto,tempo_pit_s
2026,03,SP,1,Sprint,Pit1,Felipe Fraga,3.750
2026,03,SP,1,Sprint,Pit1,E. Elias,3.750
2026,03,SP,1,Sprint,Pit1,Átila Abreu,3.850
2026,03,SP,1,Sprint,Pit1,G. Di Mauro,3.880
2026,03,SP,1,Sprint,Pit1,R. Zonta,4.120
2026,03,SP,1,Sprint,Pit1,Casagrande,4.160
2026,03,SP,1,Sprint,Pit1,Gui Salas,4.190
2026,03,SP,1,Sprint,Pit1,R. Barrichello,4.250
2026,03,SP,1,Sprint,Pit1,J. Campos,4.280
2026,03,SP,1,Sprint,Pit1,Muggiati,4.340
2026,03,SP,1,Sprint,Pit1,A. Khodair,4.350
2026,03,SP,1,Sprint,Pit1,Caca bueno,4.370
2026,03,SP,1,Sprint,Pit1,F. Massa,4.400
2026,03,SP,1,Sprint,Pit1,H. Castroneves,4.410
2026,03,SP,1,Sprint,Pit1,A. Ibiapina,4.410
2026,03,SP,1,Sprint,Pit1,Léo Reis,4.440
2026,03,SP,1,Sprint,Pit1,R. Maurício,4.530
2026,03,SP,1,Sprint,Pit1,A. Leist,4.720
2026,03,SP,1,Sprint,Pit1,R. Suzuki,4.810
2026,03,SP,1,Sprint,Pit1,N. Piquet,4.970
2026,03,SP,1,Sprint,Pit1,C. Ramos,5.160
2026,03,SP,1,Sprint,Pit1,Rafael Reis,5.160
2026,03,SP,1,Sprint,Pit1,T. Camilo,5.600
2026,03,SP,1,Sprint,Pit1,V. Orige,5.940
2026,03,SP,1,Sprint,Pit1,R. Guerra,5.970
2026,03,SP,1,Sprint,Pit1,Andre Moraes Jr,7.660
2026,03,SP,1,Sprint,Pit1,F. Bartz,8.600
2026,03,SP,1,Sprint,Pit1,R. Maurício,9.150
2026,03,SP,1,Sprint,Pit1,Sette Câmara,18.130
2026,03,SP,1,Sprint,Pit1,Lucas Kohl,32.560
2026,03,SP,2,Main,Pit1,F. Massa,7.840
2026,03,SP,2,Main,Pit1,A. Khodair,8.180
2026,03,SP,2,Main,Pit1,Lucas Foresti,8.560
2026,03,SP,2,Main,Pit1,J. Campos,8.620
2026,03,SP,2,Main,Pit1,N. Piquet,8.900
2026,03,SP,2,Main,Pit1,R. Suzuki,8.940
2026,03,SP,2,Main,Pit1,F. Baptista,8.970
2026,03,SP,2,Main,Pit1,R. Barrichello,9.030
2026,03,SP,2,Main,Pit1,A. Leist,9.190
2026,03,SP,2,Main,Pit1,A. Ibiapina,9.220
2026,03,SP,2,Main,Pit1,Felipe Fraga,9.340
2026,03,SP,2,Main,Pit1,Casagrande,9.380
2026,03,SP,2,Main,Pit1,H. Castroneves,9.410
2026,03,SP,2,Main,Pit1,R. Maurício,9.530
2026,03,SP,2,Main,Pit1,Caca bueno,9.530
2026,03,SP,2,Main,Pit1,Gui Salas,9.840
2026,03,SP,2,Main,Pit1,Muggiati,10.030
2026,03,SP,2,Main,Pit1,Lucas Kohl,10.440
2026,03,SP,2,Main,Pit1,G. Di Mauro,10.590
2026,03,SP,2,Main,Pit1,R. Guerra,10.870
2026,03,SP,2,Main,Pit1,T. Camilo,10.970
2026,03,SP,2,Main,Pit1,D. Serra,10.970
2026,03,SP,2,Main,Pit1,Sette Câmara,11.470
2026,03,SP,2,Main,Pit1,C. Ramos,12.840
2026,03,SP,2,Main,Pit1,Átila Abreu,14.030
2026,03,SP,2,Main,Pit1,F. Bartz,14.780
2026,03,SP,2,Main,Pit1,R. Zonta,21.100
