stage_number;race_type;car_number;pit_lap;race_position;tempo_total;tempo_troca_parado;tempo_troca_pneus;pneu1;pneu2;video_link
5;PRINCIPAL;33;9;1;70,372;8,310;2,19;DD;TD;
5;PRINCIPAL;1;8;2;71,034;8,810;3,03;DD;TD;
5;PRINCIPAL;29;9;3;71,906;8,900;2,50;DD;TD;
5;PRINCIPAL;111;9;4;71,522;8,720;3,03;DD;TD;
5;PRINCIPAL;7;9;5;72,577;10,090;3,22;DD;TD;
5;PRINCIPAL;121;8;6;70,955;9,030;2,94;DD;TD;
5;PRINCIPAL;90;9;7;70,937;8,620;3,37;DD;TD;
5;PRINCIPAL;0;7;8;71,514;10,130;2,91;DD;TD;
5;PRINCIPAL;6;7;9;70,749;8,680;2,65;DD;TD;https://youtu.be/Y1ccmAIFhmQ
5;PRINCIPAL;21;9;10;71,158;9,250;2,62;DD;TD;https://youtu.be/YSlGDFslHAA
5;PRINCIPAL;293;8;11;77,576;15,720;3,63;DD;TD;
5;PRINCIPAL;85;7;12;70,341;8,150;2,94;DD;TD;
5;PRINCIPAL;72;7;13;71,427;8,650;2,90;DD;TD;
5;PRINCIPAL;27;7;14;72,259;10,060;2,59;DD;TD;https://youtu.be/WZjFdnTvue8
5;PRINCIPAL;22;8;15;72,279;10,090;2,97;DD;TD;
5;PRINCIPAL;301;7;16;72,477;11,060;3,03;DD;TD;
5;PRINCIPAL;12;9;17;72,468;9,970;2,72;DD;TD;
5;PRINCIPAL;83;7;18;72,939;10,500;3,12;TE;DE;
5;PRINCIPAL;51;14;19;71,203;8,840;2,40;DD;TD;
5;PRINCIPAL;8;14;20;76,117;15,340;2,72;DD;TD;
5;PRINCIPAL;19;6;21;70,854;8,280;2,85;DD;TD;
5;PRINCIPAL;95;9;22;71,971;9,780;4,00;DD;TD;
5;PRINCIPAL;73;9;23;70,904;8,250;2,84;DD;TD;
5;PRINCIPAL;11;7;NC;70,545;8,500;2,78;DD;TD;
5;PRINCIPAL;18;7;NC;71,079;8,400;2,50;DD;TD;
5;PRINCIPAL;38;7;NC;75,000;13,100;3,96;TE;DE;
